--k---N-B-p---pP--P---np--------P-Np------pPPp-KB--R-----rq----- 2k3N1/B1p3pP/2P3np/8/P1Np4/2pPPp1K/B2R4/1rq5 0.000107 21
--B-----Q----N-n-p--r-PB------q-P-rNnP--p-pk---KPR-------R------ 2B5/Q4N1n/1p2r1PB/6q1/P1rNnP2/p1pk3K/PR6/1R6 0.000116 21
--b-----R---PP-nP-P---ppr-b--------q-----KPkprpQ-P--------R----- 2b5/R3PP1n/P1P3pp/r1b5/3q4/1KPkprpQ/1P6/2R5 0.000247 21
--B-q-R--p-nB-----P--P-NP-n-------P---r----Ppb-Kpr---b------k--- 2B1q1R1/1p1nB3/2P2P1N/P1n5/2P3r1/3Ppb1K/pr3b2/4k3 0.000133 21
----k--B-R-----BP-------P--r--P-p-p-prp-----n-N-NQ----P-----R-bK 4k2B/1R5B/P7/P2r2P1/p1p1prp1/4n1N1/NQ4P1/4R1bK 0.000226 21
--------PR-Kp-p--rn---P---N-----b-P-----BpP-PB--p----k--Q-b---N- 8/PR1Kp1p1/1rn3P1/2N5/b1P5/BpP1PB2/p4k2/Q1b3N1 0.000139 21
---r---bR---R---P---P------p--N-p--pq-----P-PpBPP--------n-n-k-K 3r3b/R3R3/P3P3/3p2N1/p2pq3/2P1PpBP/P7/1n1n1k1K 0.000118 21
---B-----p--ppPp-PR-Br-p--RP---k---Kp---P----b---N-----P-Q------ 3B4/1p2ppPp/1PR1Br1p/2RP3k/3Kp3/P4b2/1N5P/1Q6 0.000206 21
---------nk--Pp-P-B-P-pP--p---P---------p---p-P-R--N---pbQ----NK 8/1nk2Pp1/P1B1P1pP/2p3P1/8/p3p1P1/R2N3p/bQ4NK 0.000137 21
-------BN-PKppP-pq---RP-----------rnr-p---pn--PkP---------b----- 7B/N1PKppP1/pq3RP1/8/2rnr1p1/2pn2Pk/P7/2b5 0.000174 21
---R------PKP-q-p-P-N-Bp---n--B-n-------P-rrp-R----b---Q----k--- 3R4/2PKP1q1/p1P1N1Bp/3n2B1/n7/P1rrp1R1/3b3Q/4k3 0.000172 21
Q------RP-p-pp-NRnP-P--B--n-----P-------b----p--b------P--r--k-K Q6R/P1p1pp1N/RnP1P2B/2n5/P7/b4p2/b6P/2r2k1K 0.000153 21
-r--N------K-RP------R-pq-Bp--np--P---P-r--bb---p---kp------n--- 1r2N3/3K1RP1/5R1p/q1Bp2np/2P3P1/r2bb3/p3kp2/4n3 0.000145 21
------r-bPN-p--p-Pr-Pp----RP-------q----Bk-PQ--N-n---------R---K 6r1/bPN1p2p/1Pr1Pp2/2RP4/3q4/Bk1PQ2N/1n6/3R3K 0.000400 21
NN------b-K-Qr-pR-P-BnpBp-----p-----P--------nk-bP-------r------ NN6/b1K1Qr1p/R1P1BnpB/p5p1/4P3/5nk1/bP6/1r6 0.000174 21
---n-r-B-pq---R---p--RN----p-------pP-n--P---NPkPb-K------r----- 3n1r1B/1pq3R1/2p2RN1/3p4/3pP1n1/1P3NPk/Pb1K4/2r5 0.000186 21
b-----r-p-K--R--kpn-BBqp---R----P-p-----N---n-P-p--r---p-------- b5r1/p1K2R2/kpn1BBqp/3R4/P1p5/N3n1P1/p2r3p/8 0.000173 21
------n-Br--Np--p---NP-PR-------K-R-P---Pr---pk--P-----p---b--q- 6n1/Br2Np2/p3NP1P/R7/K1R1P3/Pr3pk1/1P5p/3b2q1 0.000227 21
------bbPP--P---P-P-BP----nR------Nprp----r-p-nK---P---------k-- 6bb/PP2P3/P1P1BP2/2nR4/2Nprp2/2r1p1nK/3P4/5k2 0.000160 21
---r----b---R---K---p-N---P---Q---p-N-p--nPp--rbPP-B---------k-q 3r4/b3R3/K3p1N1/2P3Q1/2p1N1p1/1nPp2rb/PP1B4/5k1q 0.000228 21
--------ppp-Nb--kNp-----P-r---r-B-R---R--K--pqb--------PQn------ 8/ppp1Nb2/kNp5/P1r3r1/B1R3R1/1K2pqb1/7P/Qn6 0.000106 21
-----B--bbP-Rpprk-p-B-R---Q----------qN-nK----P-P------p-n------ 5B2/bbP1Rppr/k1p1B1R1/2Q5/5qN1/nK4P1/P6p/1n6 0.000182 21
----R------k-nbb-P--q------p----p---PPr--B-PrR--P----BN------N-K 4R3/3k1nbb/1P2q3/3p4/p3PPr1/1B1PrR2/P4BN1/5N1K 0.000132 21
b-B-------p--P---------NP-Q---r----RPbn-B-pK-p-PrP-----p-------k b1B5/2p2P2/7N/P1Q3r1/3RPbn1/B1pK1p1P/rP5p/7k 0.000108 21
-N----B--b--P-b-Pn--r-p-P-----p-k-P-p-K------QB--R-----N-R-n---- 1N4B1/1b2P1b1/Pn2r1p1/P5p1/k1P1p1K1/5QB1/1R5N/1R1n4 0.000218 21
Q-K--Rb--n----b---P--B----pp------pp--r---PBP-Pk---p---pR------- Q1K2Rb1/1n4b1/2P2B2/2pp4/2pp2r1/2PBP1Pk/3p3p/R7 0.000103 21
-r------PB--NQ-n--P-RRP----P--P-----P------k--BKNP-b-----nq----- 1r6/PB2NQ1n/2P1RRP1/3P2P1/4P3/3k2BK/NP1b4/1nq5 0.000108 21
-RK------Pn-Q-B--NP-----r-PP--p----p-q----bbP-Pk---r----------R- 1RK5/1Pn1Q1B1/1NP5/r1PP2p1/3p1q2/2bbP1Pk/3r4/6R1 0.000110 21
-N-----RN---pPp---p--RpP--Pn--k---Q-----rq----B--P-----b---n---K 1N5R/N3pPp1/2p2RpP/2Pn2k1/2Q5/rq4B1/1P5b/3n3K 0.000176 21
--n-B-----pr-p--rPp-----B-Pp---------bp-NR-K----q--n--R-----k--N 2n1B3/2pr1p2/rPp5/B1Pp4/5bp1/NR1K4/q2n2R1/4k2N 0.000158 21
--K---QR--P-BnN-----N-bP--------R-Pp--P---p--nbk-p--------rB---- 2K3QR/2P1BnN1/4N1bP/8/R1Pp2P1/2p2nbk/1p6/2rB4 0.000111 21
------K-r--B----------nP---p--k-p-P--p--pQB-R-P------P-P---q-NNr 6K1/r2B4/6nP/3p2k1/p1P2p2/pQB1R1P1/5P1P/3q1NNr 0.000354 21
--R-----bPpK-B---pp--------Q----N----NP----p--P-pP-B-k----rb--q- 2R5/bPpK1B2/1pp5/3Q4/N4NP1/3p2P1/pP1B1k2/2rb2q1 0.000205 21
--K---n-Q--P-Nr---R-B--pN-----P---pBb-n-b-------pp---P-q-----k-- 2K3n1/Q2P1Nr1/2R1B2p/N5P1/2pBb1n1/b7/pp3P1q/5k2 0.000154 21
-------r----nPNpp---bp-----p-------Bp-R-b-P-nr-B-N-K---p-------k 7r/4nPNp/p3bp2/3p4/3Bp1R1/b1P1nr1B/1N1K3p/7k 0.000265 21
--K-k---P--Nq--r-R---PP----R----P-bP-rN---B----Bpn-----b-------Q 2K1k3/P2Nq2r/1R3PP1/3R4/P1bP1rN1/2B4B/pn5b/7Q 0.000155 21
-R-----bPB-bp--np-q--ppNP------P---K----N--Rn----Q----------Bk-- 1R5b/PB1bp2n/p1q2ppN/P6P/3K4/N2Rn3/1Q6/4Bk2 0.000289 21
------Q-n--KP--bPp----pbB-------P-pR--B---RNrP-r---P---------k-- 6Q1/n2KP2b/Pp4pb/B7/P1pR2B1/2RNrP1r/3P4/5k2 0.000303 21
-----nK-RP----pQn---Bp-p---b------p-Ppq-r----P--N--N-k--r------- 5nK1/RP4pQ/n3Bp1p/3b4/2p1Ppq1/r4P2/N2N1k2/r7 0.000281 21
---q-----prk-----R--p-----P---b-K--B-----p-bPppp-P-------nR---nr 3q4/1prk4/1R2p3/2P3b1/K2B4/1p1bPppp/1P6/1nR3nr 0.000349 21
B-------p-p-----R---b-pP--PP--b-K--Q-p---Pp---nk---r---rN-n----- B7/p1p5/R3b1pP/2PP2b1/K2Q1p2/1Pp3nk/3r3r/N1n5 0.000287 21
---N----P-pK-Ppr-b---pNB--r---p-n---R---QqP--P-------k-----b---- 3N4/P1pK1Ppr/1b3pNB/2r3p1/n3R3/QqP2P2/5k2/3b4 0.000117 21
rR-------n-K-Pbp-r--p--pN--Q--N-P----R------pb-q---P---P----k--- rR6/1n1K1Pbp/1r2p2p/N2Q2N1/P4R2/4pb1q/3P3P/4k3 0.000173 21
-n--k---q--b-p-B-pP-P---p-R---Q---p--N-----------R---B-P--rNK-b- 1n2k3/q2b1p1B/1pP1P3/p1R3Q1/2p2N2/8/1R3B1P/2rNK1b1 0.000148 21
-nK--Q-----pP-p--qb----r--R---P---pP--P--N-----pBp-R----------bk 1nK2Q2/3pP1p1/1qb4r/2R3P1/2pP2P1/1N5p/Bp1R4/6bk 0.000155 21
NR----Brp-PkpPP------B--------Q-N-n-Pb--P----n---p---------b-K-- NR4Br/p1PkpPP1/5B2/6Q1/N1n1Pb2/P4n2/1p6/3b1K2 0.000112 21
--------RBb--nr--N-----NB--p--P-P--KPP--rQ-p---b-n-p-----------k 8/RBb2nr1/1N5N/B2p2P1/P2KPP2/rQ1p3b/1n1p4/7k 0.000145 21
--Q---K--P------pb---pn-P--B--n-P-Rpb---pk-pp-B--------R--q----- 2Q3K1/1P6/pb3pn1/P2B2n1/P1Rpb3/pk1pp1B1/7R/2q5 0.000241 21
--K------N-PbB--P---P-P-n-p--------B-R----PP-P--r------p--N--knR 2K5/1N1PbB2/P3P1P1/n1p5/3B1R2/2PP1P2/r6p/2N2knR 0.000134 21
-q--------RKBPb---B--p--P--p----p-b--pp----k-P--Rr-r---pn------- 1q6/2RKBPb1/2B2p2/P2p4/p1b2pp1/3k1P2/Rr1r3p/n7 0.000202 21
------N-b----R--P----R----rq--P---npP-p----n-bKpP--p----Br---k-- 6N1/b4R2/P4R2/2rq2P1/2npP1p1/3n1bKp/P2p4/Br3k2 0.000264 21
------rRp-n-P--pqp--QPb-------P---r--R--PKN-p-k--b-p------------ 6rR/p1n1P2p/qp2QPb1/6P1/2r2R2/PKN1p1k1/1b1p4/8 0.000173 21
r----B--R-P-P-pbrn--Bpp---pP----------K---R-N-n--q-P-k---------- r4B2/R1P1P1pb/rn2Bpp1/2pP4/6K1/2R1N1n1/1q1P1k2/8 0.000323 21
-------n-r---n----B-brqB---P--P-R--KP-p--PRp-PPkp--------------- 7n/1r3n2/2B1brqB/3P2P1/R2KP1p1/1PRp1PPk/p7/8 0.000153 21
----------KPp-n-b------bR-----P-r-NB--B--k-P-ppp---n---p--Q----q 8/2KPp1n1/b6b/R5P1/r1NB2B1/1k1P1ppp/3n3p/2Q4q 0.000242 21
--------P-KNP--rkN--------P---p-b--p-----Pb-B-R-r--p-----QR---nB 8/P1KNP2r/kN6/2P3p1/b2p4/1Pb1B1R1/r2p4/1QR3nB 0.000260 21
-----r-q-n-Kp-P---p-----------N-p-RB-PB-P-Q-p---b--p-k-p---R---- 5r1q/1n1Kp1P1/2p5/6N1/p1RB1PB1/P1Q1p3/b2p1k1p/3R4 0.000151 21
---B---nPQnK-----q--p--P--R---NkR-r-p-----P--P---p--r--P--N----- 3B3n/PQnK4/1q2p2P/2R3Nk/R1r1p3/2P2P2/1p2r2P/2N5 0.000217 21
-Q-R----pb----p--pB-np----b-----K-P-PRP-p----P--P-k----B---N---- 1Q1R4/pb4p1/1pB1np2/2b5/K1P1PRP1/p4P2/P1k4B/3N4 0.000117 21
-N-N--K-P-----PB-B---b-p--q---p-p----PQ-----rP--P--P------nn---k 1N1N2K1/P5PB/1B3b1p/2q3p1/p4PQ1/4rP2/P2P4/2nn3k 0.000224 21
